id,gpt3_bug_type,gpt3_root_cause,gpt3_effect,gpt4_bug_type,gpt4_root_cause,gpt4_effect,claude_bug_type,claude_root_cause,claude_effect,deepseek_bug_type,deepseek_root_cause,deepseek_effect
73351040,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,API Misuse (APIM),Crash
73599363,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
73616963,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
74027680,API Bug,API Misuse (APIM),Crash,API Bug,Confusion with Computation Model(CCM),Bad Performance,API Bug,API Misuse (APIM),Bad Performance,API Bug,API Change (APIC),Unknown
74229178,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
74233730,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash
74394812,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
75102134,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
75314899,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality
75535679,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Crash
75623118,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
75644077,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
75725818,API Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,Data Bug,Structure Ineffciency (SI),Crash,API Bug,Unaligned Tensor (UT),Crash
75969294,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
75982081,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Confusion with Computation Model(CCM),Crash,API Bug,Structure Ineffciency (SI),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
76067104,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,Data Bug,Structure Ineffciency (SI),Crash
76282003,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,SB.Control and Sequence Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality
76373752,API Bug,API Misuse (APIM),Unknown,API Bug,API Change (APIC),Incorrect Functionality,API Bug,API Misuse (APIM),Incorrect Functionality,Data Bug,API Change (APIC),Incorrect Functionality
76821175,SB.Logic Bugs,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash
77133095,SB.Logic Bugs,API Change (APIC),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,API Bug,API Misuse (APIM),Incorrect Functionality,SB.Logic Bugs,API Misuse (APIM),Crash
77347618,API Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash,API Bug,Unaligned Tensor (UT),Crash
78114412,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
78498481,API Bug,API Change (APIC),Crash,API Bug,Structure Ineffciency (SI),Crash,API Bug,Structure Ineffciency (SI),Crash,Data Bug,Unaligned Tensor (UT),Crash
78604018,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
79255608,SB.Data flow Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance,Data Bug,Structure Ineffciency (SI),Incorrect Functionality,SB.Logic Bugs,Unaligned Tensor (UT),Bad Performance
